activity_id	activity_name	activity_url	activty_dates	activity_times	activty_place	activity_district	activity_address	activity_description
34	Tardes Clave	https://disfrutemosba.buenosaires.gob.ar/lugares/tardes-clave	NULL	NULL	Espectaculos	NULL	NULL	Vuelven las Tardes Clave al Recoleta. Todos los sabados, desde las 16 h, vas a poder disfrutar de la presentacion especial de los seleccionadxs de Expedicion Clave 2021 con musica, danza, literatura, charlas, talleres y mas actividades pensadas con y desde adolescentes.Domingo 17 de julio, sabado 6, 20, 27 de agosto. Sabado 3, 10 y 17 de septiembre&nbsp;| 15 h | Terraza, Patio del Aljibe y Patio de los NaranjosEntrada gratuitaSe reprograma por lluvia
70	Sabe la Tierra	https://disfrutemosba.buenosaires.gob.ar/lugares/sabe-la-tierra	NULL	NULL	NULL	NULL	NULL	El mercado de productos organicos permite a los vecinos hacer compras conscientes, consumir en forma responsable y de manera directa productor-consumidor. De esta forma, el campo se acerca a la ciudad y son los propios productores, emprendedores y campesinos quienes estaran detras de cada puesto.Conoce la agenda del mesAgenda general: Miercoles | 12 a 19 h | Virrey Vertiz y Juramento (Belgrano)Miercoles y Jueves | 10 a 18 h | Florida y Roque Saenz Pena (Microcentro)Jueves | 11 a 18 h | Plaza Lavalle (Libertad y Lavalle)&nbsp;Viernes | de 11 a 18.30 h | Parque Rivadavia (Caballito)1° y 3° sabado del mes | 10 a 18 h | Plaza Colombia (Barracas)2° y 4° sabados del mes | 11 a 19 h | Plaza Arenales (Villa Devoto)Domingos | de 8 a 14 h | Parque Saavedra (Saavedra) y Plaza Irlanda (Flores)Domingos | 13 a 19 h | Parque Las Heras (Palermo)Mercado Itinerante Palermo | Sabado 23 de julio de 12 a 19 h | Parque Patricios (Av. Caseros y Monteagudo)IMPORTANTE: Todos los mercados son al aire libre, motivo por el cual el clima puede ocasionar su suspension. Para mas seguridad mira el mismo dia de mercado las historias de su instagram @sabelatierraokACTIVIDAD GRATUITA
95	Centro Cultural Recoleta	https://disfrutemosba.buenosaires.gob.ar/lugares/centro-cultural-recoleta	{'Viernes', 'Domingo', 'Miercoles', 'Martes', 'Sabado', 'Jueves'}	{'10:30 a 21:00', '12:30 a 21:00'}	Espectaculos	Recoleta	Junin 1930, C1113 CABA, Argentina	El Centro Cultural Recoleta es un espacio vivo y participativo para adolescentes y jovenes que apuesta a la convivencia en la diversidad y que impulsa los movimientos artisticos del pais y del mundo desde hace mas de tres decadas.&nbsp;Construido sobre un casco historico con 300 anos de historia, conecta tradicion y vanguardia, y es visitado por mas de medio millon de personas al ano, en su mayoria jovenes de entre 18 y 35 anos. &nbsp;&nbsp;Hay salas permanentes dedicadas a los adolescentes, al hip-hop, al dibujo, una zona de estudio, un espacio de ocio y recreacion, un bar y una tienda de objetos de diseno argentino contemporaneo, ademas de la Terraza, el Cine, el Laboratorio musical, el Centro de investigacion, la Residencia para artistas, la Capilla y las salas de exhibicion para artes visuales.&nbsp;Libertad, participacion y convivencia son los valores que determinan el cruce de actividades: artes visuales, musica, danza, teatro, literatura y cine conviven con hip hop, cosplayers, booktubers, instagramers, gamers y todas las nuevas escenas culturales jovenes que estan vivas en la ciudad. &nbsp;&nbsp;Todo el ano, a traves de diferentes mecanismos de participacion como las convocatorias abiertas y publicas, el Recoleta invita a organizaciones culturales y a colectivos de artistas a crear contenidos y/o integrarse a su programacion, como la convocatoria anual a artistas para disenar y dictar talleres o la convocatoria a organizaciones culturales que quieran organizar proyectos en colaboracion.
96	Patio de Los Lecheros	https://disfrutemosba.buenosaires.gob.ar/lugares/patio-de-los-lecheros	{'Lunes', 'Viernes', 'Domingo', 'Miercoles', 'Martes', 'Sabado', 'Jueves'}	{'09:00 a 02:00', '09:00 a 03:00'}	Gastronomia	Caballito	Donato Alvarez 175, Bacacay 1686, 1406 CABA, Argentina	"El Patio de los Lecheros es el primer patio gastronomico&nbsp;de la Ciudad impulsado por BA Capital Gastronomica. Ubicado en la Av. Donato Alvarez y Bacacay, comenzo abriendo el primer fin de semana de cada mes con food trucks para luego pasar a abrir todos los fines de semana en 2017, ya con el formato de puestos en containers hasta su actual apertura. Es un ambiente techado donde no cierra por lluvia y se puede disfrutar de deliciosas comidas.&nbsp;Este predio se puso en valor para que familias, parejas y amigos puedan juntarse a compartir propuestas gastronomicas y de entretenimiento (musicos, grafiteros, malabaristas y artistas callejeros). La oferta gastronomica actual es de 11 locales de parrilla, comida peruana y asiatica, comida mexicana, comida americana, pizzas y empanadas, fiambreria, vinos, tragos, cerveza artesanal, helados y cafeteria.El Patio recibe su nombre gracias a que era la estacion de tren, muy cercana a la actual ""Caballito"", donde llegaba la leche proveniente de los campos del interior del pais. Cuando en 1961 se prohibio la venta de leche sin proceso de pasteurizacion, el ""Patio de los Lecheros"" cayo en desuso tras desaparecer la figura del lechero hasta que desde BA Capital Gastronomica se realizo el uso y puesta en valor del espacio.Domingo a miercoles | 9h a 00h&nbsp;Jueves | 9h a 2hViernes y Sabados | 9h a 3hAv. Tte. Gral. Donato Alvarez 175.&nbsp;Entrada libre y gratuita."
97	Bosques de Palermo	https://disfrutemosba.buenosaires.gob.ar/lugares/bosques-de-palermo	{'Viernes', 'Jueves', 'Sabado'}	{'09:00 a 18:00', '10:00 a 19:00'}	Parques y Plazas	Palermo	Av. Infanta Isabel 410, Buenos Aires, Argentina	Pulmon natural de la Ciudad.Los bosques de Palermo representan el pulmon verde mas grande de la Ciudad. A lo largo de sus 370 hectareas de extension, diferentes especies de flora forman pequenos bosques y paseos, ideales para disfrutar del deporte y de la vida al aire libre.
98	Museo Sivori	https://disfrutemosba.buenosaires.gob.ar/lugares/museo-sivori	NULL	NULL	Museos y Galerias	Palermo	Av. Infanta Isabel 555, C1268 ACK, Buenos Aires, Argentina	NULL
99	Museo Moderno	https://disfrutemosba.buenosaires.gob.ar/lugares/museo-moderno	NULL	NULL	Museos y Galerias	San Telmo	Av. San Juan 350, C1147 AAO, Buenos Aires, Argentina	NULL
100	Teatro San Martin	https://disfrutemosba.buenosaires.gob.ar/lugares/teatro-san-martin	NULL	NULL	Teatros	Montserrat	C1042AAO, Av. Corrientes 1530, C1042 AAO, Buenos Aires, Argentina	NULL
101	Usina del Arte	https://disfrutemosba.buenosaires.gob.ar/lugares/usina-del-arte	NULL	NULL	Museos y Galerias	La Boca	Agustin R. Caffarena 1, C1157 CABA, Argentina	NULL
102	Teatro Colon	https://disfrutemosba.buenosaires.gob.ar/lugares/teatro-colon	NULL	NULL	Teatros	Retiro	Cerrito 628, C1010 CABA, Argentina	NULL
